HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Avg_DY23_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_22_23,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23
Q5125,"Injection, filgrastim-ayow, biosimilar, (releuko), 1 microgram",Releuko,Filgrastim-Ayow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794577.13,3281211.0,7736,1231,0.546925245,231.97739529,1457.8205768,0,0.5653333333,,
J9017,"Injection, arsenic trioxide, 1 mg",Arsenic Trioxide*,Arsenic Trioxide*,6753891.96,128643.0,6367,210,52.501045218,1060.7651893,32161.390286,0,2901661.6,99029.0,5007,171,29.301129972,579.52099061,16968.781287,0,1701300.61,106989.0,5275,160,15.901640449,322.52144265,10633.128812,0,1314010.37,97536.0,4927,157,13.472055139,266.69583316,8369.4928025,0,1768374.78,117322.0,5966,176,15.072831864,296.40877975,10047.583977,0,15.2675,0.1188220141,-0.26800734
J2407,"Injection, oritavancin (orbactiv), 10 mg",Orbactiv,Oritavancin Diphosphate,7082255.93,320492.0,2663,1842,22.098073992,2659.5027901,3844.8729262,0,5087076.36,234143.0,1898,1221,21.726365341,2680.2299052,4166.3197052,0,4386715.13,202085.0,1713,1071,21.707277284,2560.8377875,4095.905817,0,3553178.25,144589.0,1232,731,24.57433311,2884.0732549,4860.7089603,0,1767868.65,67216.0,568,363,26.30130698,3112.4448063,4870.1615702,0,26.77625,0.0702755132,0.044493464
J1440,"Fecal microbiota, live - jslm, 1 ml",Rebyota,"Fecal Microbiota, Live-Jslm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750900.27,24398.0,180,170,71.764090089,9727.2237222,10299.413353,1,62.423,,
J0289,"Injection, amphotericin b liposome, 10 mg",AmbIsome*,Amphotericin B Liposome*,2739387.84,127903.0,1947,305,21.417698099,1406.9788598,8981.5994754,0,2559494.55,102841.0,1686,271,24.887880806,1518.0869217,9444.6293358,0,2315051.67,88565.0,1349,253,26.139577373,1716.1242921,9150.4018577,0,2333220.93,87937.0,1205,208,26.532869327,1936.2829295,11217.408317,0,1748170.43,66606.0,1145,195,26.246440711,1526.7864017,8964.9765641,0,26.79125,-0.010795237,0.0521421181
J1747,"Injection, spesolimab-sbzo, 1 mg",Spevigo,Spesolimab-Sbzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1732342.98,29252.0,38,22,59.221351702,45587.973158,78742.862727,0,60.223,,
J3415,"Injection, pyridoxine hcl, 100 mg",Pyridoxine HCL,Pyridoxine HCL (Vitamin B6),1423956.83,152922.0,56297,5524,9.3116545036,25.293653836,257.77639935,0,3454057.01,453214.0,142379,10588,7.6212495863,24.259595938,326.2237448,0,6881525.2,663661.5,182144,13281,10.36902879,37.780685611,518.14812138,0,2786105.71,324758.0,98665,8542,8.5790210249,28.238034865,326.16550105,0,1693171.28,152140.0,59766,6322,11.129034311,28.330008366,267.82209427,0,12.037,0.2972382604,0.0455809377
J3095,"Injection, telavancin, 10 mg",Vibativ,Telavancin HCL,2631122.58,480375.0,3501,347,5.477226292,751.5345844,7582.4858213,0,1871452.82,355061.0,2061,251,5.2707923991,908.03145075,7455.9873307,0,1353072.6,222251.0,1793,180,6.088038299,754.64171779,7517.07,0,1223976.68,187180.0,1645,163,6.5390355807,744.05877204,7509.0593865,0,1683613.44,244876.0,2108,171,6.8753713716,798.67810247,9845.6926316,0,6.979,0.0514350758,0.0584829561
J3396,"Injection, verteporfin, 0.1 mg",Visudyne,Verteporfin,3991220.99,373731.1,2569,2195,10.679392189,1553.6087933,1818.3239134,0,2648687.24,242295.2,1685,1437,10.931653784,1571.9212107,1843.2061517,0,2537428.32,231929.6,1739,1407,10.940510914,1459.1307188,1803.4316418,0,1812799.96,163206.0,1271,1018,11.107434531,1426.2784894,1780.7465226,0,1671832.8,150631.0,1220,937,11.098862784,1370.3547541,1784.2399146,0,11.33225,-0.000771713,0.0096782165
J2779,"Injection, ranibizumab, via intravitreal implant (susvimo), 0.1 mg",Susvimo*,Ranibizumab*,,,,,,,,,,,,,,,,,,,,,,,,,825096.1,10272.0,115,106,80.32477609,7174.7486957,7783.9254717,0,1669238.09,20800.0,238,152,80.25183125,7013.6054202,10981.829539,0,81.6125,-0.000908124,-0.000908124
J9045,"Injection, carboplatin, 50 mg",Carboplatin*,Carboplatin*,2959178.28,991802.3,140621,32502,2.983637243,21.043644121,91.046036552,0,2406407.67,871921.2,123996,29024,2.7598912264,19.407139505,82.910958862,0,2117021.75,817406.8,116341,27159,2.5899243192,18.19669549,77.949178909,0,2117127.77,779324.0,111816,26042,2.7166207765,18.934032428,81.296665771,0,1668619.26,674390.0,98500,23940,2.4742645354,16.940297056,69.700052632,0,2.50475,-0.089212393,-0.045721745
J1071,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone*,Testosterone Cypionate*,2489039.77,93318262.6,514610,56380,0.0266725901,4.8367497134,44.147565981,0,2190227.36,76256354.7,421841,47711,0.0287218996,5.1920684808,45.906129823,0,2089198.52,72073178.4,405102,42251,0.0289871845,5.1572160098,49.44731533,0,1766687.34,64601848.9,368778,38636,0.0273473185,4.7906527504,45.726455637,0,1666389.05,58252114.4,337396,35115,0.028606499,4.9389709718,47.455191514,0,0.02975,0.0460440178,0.0176533803
J8560,"Etoposide; oral, 50 mg",Etoposide,Etoposide,2114465.78,28512.0,1592,534,74.160556257,1328.1820226,3959.6737453,0,1900354.37,25471.0,1432,507,74.608549723,1327.0631075,3748.2334714,0,1882326.11,24856.0,1451,467,75.72924485,1297.261275,4030.6768951,0,1462133.32,19537.0,1160,393,74.839193325,1260.4597586,3720.4410178,0,1659629.69,22014.0,1261,397,75.389737894,1316.1218795,4180.4274307,0,76.72175,0.007356367,0.0041181417
Q4137,"Amnioexcel, amnioexcel plus or biodexcel, per square centimeter","Amnioexcel, amnioexcel plus or biodexcel, per square centimeter",,1484639.37,12510.0,624,176,118.67620863,2379.2297596,8435.4509659,0,1520176.36,18710.0,840,225,81.249404596,1809.7337619,6756.3393778,0,1151817.92,13234.0,623,167,87.034752909,1848.8249117,6897.1132934,0,2187145.61,22493.0,835,208,97.23672298,2619.3360599,10515.123125,0,1632618.43,16706.0,551,194,97.726471328,2963.0098548,8415.5589175,0,100.63975,0.0050366603,-0.047396575
J1746,"Injection, ibalizumab-uiyk, 10 mg",Trogarzo,Ibalizumab-Uiyk,888148.49,14514.0,183,21,61.19253755,4853.2704372,42292.785238,1,1608886.52,29840.0,346,31,53.917108579,4649.9610405,51899.565161,1,1556156.43,26593.0,316,23,58.517520776,4924.5456646,67658.975217,1,1681553.44,25622.0,281,18,65.629281087,5984.1759431,93419.635556,0,1631357.92,23366.0,269,27,69.817594796,6064.5275836,60420.663704,0,71.993,0.06381776,0.0335145738
J8700,"Temozolomide, oral, 5 mg",Temodar (J8700)*,Temozolomide*,6522064.66,5164340.0,23548,5738,1.2629038096,276.96894259,1136.6442419,0,6020113.49,5341019.0,24484,5769,1.1271469901,245.87949232,1043.5280794,0,3749179.75,5120995.0,25502,5465,0.7321193928,147.01512626,686.03472095,0,2396763.38,4971087.0,26419,5447,0.4821407028,90.721199894,440.01530751,0,1592682.13,4989566.0,27054,5480,0.3192025379,58.870486065,290.63542518,0,0.197,-0.337947334,-0.290954646
P9041,"Infusion, albumin (human), 5%, 50 ml",Albumin (Human)*,Albumin Human*,1936121.98,223357.0,3893,1116,8.6682843161,497.33418443,1734.8763262,0,1874603.19,216437.0,3329,970,8.6611955904,563.11300391,1932.5806082,0,1519574.74,173151.0,2904,930,8.7760090326,523.26953857,1633.9513333,0,1500858.6,146712.0,2576,672,10.229964829,582.6314441,2233.4205357,0,1575298.24,151128.0,2987,558,10.423602774,527.38474724,2823.1151254,0,10.59995,0.0189285054,0.0471796075
